"cohen_d_xaxis","cohen_d_yaxis","pvalue_negneg","pvalue_pospos","xaxis","yaxis","feat","cancer_type","nPosX","nPosY","nSamplesX","nSamplesY"
0.13591505413501,0.13591505413501,NA,NA,"Cisplatin","Oxaliplatin","SBS19L","SARC",6,6,12,12
-0.0990834984527322,-0.0990834984527322,NA,NA,"Cisplatin","Oxaliplatin","SBS22L","SARC",3,3,12,12
1.09832180000879,1.09832180000879,0.95049504950495,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS23/11L","SARC",4,4,12,12
1.06286230191564,1.06286230191564,0.821782178217822,0.0396039603960396,"Cisplatin","Oxaliplatin","SBS24L","SARC",8,8,12,12
-0.158059934744553,-0.158059934744553,NA,NA,"Cisplatin","Oxaliplatin","SBS25L","SARC",6,6,12,12
-0.118118174491088,-0.118118174491088,NA,NA,"Cisplatin","Oxaliplatin","SBS28","SARC",3,3,12,12
0.0359950446641819,0.0359950446641819,NA,NA,"Cisplatin","Oxaliplatin","SBS29L/18L","SARC",4,4,12,12
0.475589943899735,0.475589943899735,0.603960396039604,0.0396039603960396,"Cisplatin","Oxaliplatin","SBS31L","SARC",5,5,12,12
0.883359196287336,0.883359196287336,0.811881188118812,0.0198019801980198,"Cisplatin","Oxaliplatin","SBS32L","SARC",2,2,12,12
0.323902636653392,0.323902636653392,0.514851485148515,0.188118811881188,"Cisplatin","Oxaliplatin","SBS36/56L","SARC",5,5,12,12
1.5409671702487,1.5409671702487,1,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS38/45L","SARC",5,5,12,12
0.688765265850811,0.688765265850811,0.683168316831683,0.0396039603960396,"Cisplatin","Oxaliplatin","SBS42L","SARC",7,7,12,12
0.0686533253881011,0.0686533253881011,NA,NA,"Cisplatin","Oxaliplatin","SBS43/60L","SARC",3,3,12,12
0.116272134893091,0.116272134893091,NA,NA,"Cisplatin","Oxaliplatin","SBS44L","SARC",2,2,12,12
1.69639150096681,1.69639150096681,0.99009900990099,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS45/38L/4L","SARC",7,7,12,12
0.198162977128264,0.198162977128264,NA,NA,"Cisplatin","Oxaliplatin","SBS46L","SARC",5,5,12,12
0.141017506302674,0.141017506302674,NA,NA,"Cisplatin","Oxaliplatin","SBS48L","SARC",4,4,12,12
0.0454731146013352,0.0454731146013352,NA,NA,"Cisplatin","Oxaliplatin","SBS49","SARC",3,3,12,12
0.883359196287336,0.883359196287336,0.742574257425743,0.0594059405940594,"Cisplatin","Oxaliplatin","SBS52","SARC",2,2,12,12
0.166327312097846,0.166327312097846,NA,NA,"Cisplatin","Oxaliplatin","SBS55L/60L","SARC",7,7,12,12
0.611289923132406,0.611289923132406,0.653465346534653,0.0594059405940594,"Cisplatin","Oxaliplatin","SBS56/10aL/36L","SARC",6,6,12,12
0.152770306437537,0.152770306437537,NA,NA,"Cisplatin","Oxaliplatin","SBS59","SARC",4,4,12,12
0.326457891982195,0.326457891982195,0.465346534653465,0.158415841584158,"Cisplatin","Oxaliplatin","SBS60","SARC",2,2,12,12
0.0776713356032054,0.0776713356032054,NA,NA,"Cisplatin","Oxaliplatin","SBS-CL1","SARC",2,2,12,12
0.511878118382158,0.511878118382158,0.643564356435644,0.0297029702970297,"Cisplatin","Oxaliplatin","SBS-CL3","SARC",7,7,12,12
0.274827452523665,0.274827452523665,0.415841584158416,0.168316831683168,"Cisplatin","Oxaliplatin","SBS3L","EWING",18,18,20,20
-0.649354171526282,-0.649354171526282,0.0099009900990099,0.831683168316832,"Cisplatin","Oxaliplatin","SBS4/45L","EWING",8,8,20,20
0.0888059233119237,0.0888059233119237,NA,NA,"Cisplatin","Oxaliplatin","SBS5L","EWING",4,4,20,20
0.79885897697916,0.79885897697916,0.891089108910891,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS6","EWING",5,5,20,20
-0.999582999280258,-0.999582999280258,0.0198019801980198,0.920792079207921,"Cisplatin","Oxaliplatin","SBS7dL","EWING",5,5,20,20
-0.231299770122066,-0.231299770122066,0.148514851485149,0.425742574257426,"Cisplatin","Oxaliplatin","SBS8L/4L","EWING",6,6,20,20
0.342341918634622,0.342341918634622,0.405940594059406,0.198019801980198,"Cisplatin","Oxaliplatin","SBS10b","EWING",2,2,20,20
-0.498519804602164,-0.498519804602164,0.0594059405940594,0.554455445544555,"Cisplatin","Oxaliplatin","SBS11","EWING",4,4,20,20
-0.0413790473392172,-0.0413790473392172,NA,NA,"Cisplatin","Oxaliplatin","SBS13","EWING",3,3,20,20
-1.01022632073777,-1.01022632073777,0.0099009900990099,0.891089108910891,"Cisplatin","Oxaliplatin","SBS14","EWING",3,3,20,20
0.440640439498491,0.440640439498491,0.574257425742574,0.0693069306930693,"Cisplatin","Oxaliplatin","SBS16L","EWING",2,2,20,20
-0.301455741924834,-0.301455741924834,0.0792079207920792,0.475247524752475,"Cisplatin","Oxaliplatin","SBS17aL","EWING",3,3,20,20
-0.296478990601769,-0.296478990601769,0.0693069306930693,0.554455445544555,"Cisplatin","Oxaliplatin","SBS18/36L","EWING",8,8,20,20
-0.411207949041668,-0.411207949041668,0.0594059405940594,0.574257425742574,"Cisplatin","Oxaliplatin","SBS19L","EWING",5,5,20,20
-0.247147290420721,-0.247147290420721,0.099009900990099,0.504950495049505,"Cisplatin","Oxaliplatin","SBS20","EWING",2,2,20,20
-0.147365384439011,-0.147365384439011,NA,NA,"Cisplatin","Oxaliplatin","SBS21","EWING",2,2,20,20
0.562384087965131,0.562384087965131,0.673267326732673,0.0693069306930693,"Cisplatin","Oxaliplatin","SBS22L","EWING",3,3,20,20
0.586505019510277,0.586505019510277,0.881188118811881,0.0099009900990099,"Cisplatin","Oxaliplatin","SBS23/11L","EWING",7,7,20,20
-0.0904114650829919,-0.0904114650829919,NA,NA,"Cisplatin","Oxaliplatin","SBS24L","EWING",5,5,20,20
0.374316676494122,0.374316676494122,0.544554455445545,0.0594059405940594,"Cisplatin","Oxaliplatin","SBS25L","EWING",6,6,20,20
-0.37180137960863,-0.37180137960863,0.0891089108910891,0.514851485148515,"Cisplatin","Oxaliplatin","SBS26/12L","EWING",2,2,20,20
