"","TTT>G","TTT>C","TTT>A","GTT>G","GTT>C","GTT>A","CTT>G","CTT>C","CTT>A","ATT>G","ATT>C","ATT>A","ACA>A","ACA>G","ACA>T","ACC>A","ACC>G","ACC>T","ACG>A","ACG>G","ACG>T","ACT>A","ACT>G","ACT>T","TTG>G","TTG>C","TTG>A","GTG>G","GTG>C","GTG>A","CTG>G","CTG>C","CTG>A","ATG>G","ATG>C","ATG>A","CCA>A","CCA>G","CCA>T","CCC>A","CCC>G","CCC>T","CCG>A","CCG>G","CCG>T","CCT>A","CCT>G","CCT>T","TTC>G","TTC>C","TTC>A","GTC>G","GTC>C","GTC>A","CTC>G","CTC>C","CTC>A","ATC>G","ATC>C","ATC>A","GCA>A","GCA>G","GCA>T","GCC>A","GCC>G","GCC>T","GCG>A","GCG>G","GCG>T","GCT>A","GCT>G","GCT>T","TTA>G","TTA>C","TTA>A","GTA>G","GTA>C","GTA>A","CTA>G","CTA>C","CTA>A","ATA>G","ATA>C","ATA>A","TCA>A","TCA>G","TCA>T","TCC>A","TCC>G","TCC>T","TCG>A","TCG>G","TCG>T","TCT>A","TCT>G","TCT>T"
"909248",2,8,11,26,10,1,6,14,2,3,19,4,11,3,26,9,6,11,2,5,54,4,8,14,8,12,7,29,14,1,6,12,1,0,18,6,2,5,14,1,3,9,1,1,38,6,7,18,3,33,0,11,7,2,4,18,2,3,11,6,7,2,15,5,12,19,2,4,39,3,13,11,2,8,7,13,11,2,2,5,1,3,22,2,7,3,14,2,4,12,4,0,18,4,10,19
"905989",13,18,9,36,24,2,19,37,3,4,27,14,17,7,126,13,6,97,1,1,102,14,5,69,8,17,1,27,37,1,12,68,9,5,55,5,28,7,89,31,2,139,3,5,111,74,1,114,9,53,5,10,20,3,5,34,9,1,26,3,11,4,100,19,7,149,0,8,114,15,10,105,0,19,3,6,30,3,0,24,4,1,31,3,7,4,86,12,9,168,1,6,44,11,12,126
"907794",17,45,8,33,17,6,16,46,6,3,32,21,31,13,175,13,14,51,5,3,162,19,23,116,4,46,4,25,33,8,7,91,6,8,81,1,40,5,39,42,3,40,22,2,107,114,5,67,3,45,3,6,15,9,5,40,9,0,48,7,25,10,192,18,8,124,9,5,203,33,9,226,1,24,4,12,28,0,2,36,2,6,65,3,26,1,39,13,1,37,4,1,58,60,15,54
"908457",5,10,0,24,11,2,5,11,6,2,16,3,24,0,14,8,7,14,3,2,40,2,8,11,1,1,0,38,9,0,3,9,5,2,13,4,16,2,9,3,4,12,5,2,44,6,12,13,2,31,1,12,2,0,1,15,4,0,17,0,15,11,12,5,14,9,2,2,29,2,18,13,0,2,3,15,2,0,2,8,1,1,16,2,6,0,14,3,5,19,1,5,25,5,14,23
"909698",53,112,20,53,110,18,28,99,15,11,119,21,47,42,169,36,20,119,14,13,377,32,28,101,31,80,9,36,129,25,30,182,27,26,179,33,42,25,117,59,41,135,20,18,331,94,33,127,24,87,13,20,78,24,10,76,20,10,65,32,43,22,122,38,41,146,20,8,314,31,27,145,12,79,25,16,96,5,8,65,12,14,156,16,24,28,96,25,19,84,15,15,173,45,65,110
"910905",2,0,3,17,5,3,4,2,3,1,8,0,7,1,5,7,4,4,3,0,19,3,2,7,0,0,0,21,6,1,1,11,4,0,17,3,5,2,4,4,2,8,1,5,17,5,3,13,5,16,1,3,6,1,2,10,2,0,4,5,6,7,7,2,19,3,0,0,24,5,12,6,1,3,3,5,0,0,1,5,0,2,10,4,2,3,8,6,8,0,2,2,5,5,13,10
"909755",5,3,2,27,6,0,0,0,0,0,8,4,14,3,8,10,1,9,0,1,29,3,4,8,0,2,2,30,1,1,6,4,2,1,12,2,9,0,7,5,6,5,0,0,13,0,0,8,3,20,0,17,7,1,6,19,2,4,7,0,5,4,5,2,8,3,0,4,9,5,14,9,1,0,1,11,2,0,2,7,1,0,2,1,6,2,4,1,1,13,1,2,14,5,11,16
"909747",1,0,0,21,1,0,0,11,2,0,13,0,15,5,1,4,0,12,2,1,23,2,2,12,0,5,1,25,1,0,0,8,0,3,2,0,11,5,7,4,4,8,4,5,21,0,3,2,3,24,2,6,11,2,2,18,2,1,10,1,0,4,5,6,10,6,0,6,14,1,9,10,0,3,3,8,2,0,0,5,0,1,6,1,10,1,14,0,6,14,2,2,14,4,1,17
"1240217",6,3,1,20,0,1,3,5,1,1,13,1,9,1,8,0,2,5,1,0,12,6,0,8,2,1,4,21,6,4,0,5,0,0,6,1,5,2,7,2,0,2,1,3,25,4,0,9,0,16,0,5,10,4,3,16,4,3,8,0,10,3,6,2,8,6,0,2,25,2,11,5,3,0,2,6,4,1,2,0,1,0,13,1,2,3,5,0,6,0,1,2,10,6,4,14
"909737",2,6,1,18,11,0,5,0,3,2,14,3,17,4,14,4,5,6,1,2,17,3,0,16,0,0,1,31,2,0,2,11,3,2,14,4,5,2,7,3,2,9,0,1,22,1,6,14,0,17,2,10,6,2,1,17,0,1,10,0,3,5,3,1,9,4,1,3,16,2,8,10,1,16,1,13,2,1,1,5,0,0,13,0,7,3,3,0,2,5,3,0,15,6,6,8
