sample_id,cancer_type,feature,bina
908457,COREAD,SBS1,0
908458,COREAD,SBS1,1
908459,LUSC,SBS1,0
908460,LUAD,SBS1,0
908461,STAD,SBS1,0
908462,MESO,SBS1,0
908463,LUAD,SBS1,0
908465,LUAD,SBS1,0
908468,SCLC,SBS1,0
908469,SCLC,SBS1,0
908470,MESO,SBS1,0
908471,LUSC,SBS1,0
908472,LUAD,SBS1,0
908473,LUAD,SBS1,0
908475,LUAD,SBS1,0
908476,LUAD,SBS1,0
908480,SCLC,SBS1,0
908481,SCLC,SBS1,0
908482,COREAD,SBS1,1
908483,SCLC,SBS1,0
909248,MB,SBS1,0
909249,MM,SBS1,0
909250,KIRC,SBS1,0
909251,ALL/CLL,SBS1,0
909252,ALL/CLL,SBS1,1
909253,LAML,SBS1,1
909256,BRCA,SBS1,0
909257,OV,SBS1,1
909260,ALL/CLL,SBS1,1
909262,LYMP,SBS1,0
909263,COREAD,SBS1,0
909264,SARC,SBS1,0
909696,ALL/CLL,SBS1,1
909697,STAD,SBS1,0
909698,COREAD,SBS1,1
909699,OV,SBS1,0
909700,HNSC,SBS1,0
909701,HL,SBS1,0
909702,LCML,SBS1,0
909703,ALL/CLL,SBS1,1
909704,BLCA,SBS1,0
909706,SKCM,SBS1,0
909707,BONE,SBS1,0
909708,HNSC,SBS1,0
909709,HNSC,SBS1,0
909711,STAD,SBS1,0
909712,GBM,SBS1,0
909713,SKCM,SBS1,0
909715,LAML,SBS1,0
909716,SARC,SBS1,0
909718,COREAD,SBS1,0
909719,LIHC,SBS1,0
909720,SARC,SBS1,0
909721,LUAD,SBS1,0
909722,ALL/CLL,SBS1,0
909723,SKCM,SBS1,0
909724,SKCM,SBS1,0
909725,SKCM,SBS1,0
909726,SKCM,SBS1,0
909727,SKCM,SBS1,0
909728,LUSC,SBS1,0
909729,GBM,SBS1,0
909731,EWING,SBS1,0
909732,SARC,SBS1,1
909735,UCEC,SBS1,1
909736,LIHC,SBS1,0
909737,LIHC,SBS1,0
909738,LIHC,SBS1,0
909739,LIHC,SBS1,0
909740,COREAD,SBS1,1
909742,LYMP,SBS1,0
909743,ALL/CLL,SBS1,1
909744,ACC,SBS1,0
909745,GBM,SBS1,0
909746,COREAD,SBS1,1
909747,COREAD,SBS1,0
909748,COREAD,SBS1,0
909749,BLCA,SBS1,0
909750,LGG,SBS1,1
909751,COREAD,SBS1,1
909754,BONE,SBS1,0
909755,COREAD,SBS1,0
909756,SARC,SBS1,0
909757,COREAD,SBS1,0
909758,UCEC,SBS1,0
909759,SARC,SBS1,0
909761,COREAD,SBS1,0
909762,ALL/CLL,SBS1,0
909769,BTCA,SBS1,0
909770,STAD,SBS1,1
909771,LAML,SBS1,0
909773,DLBC,SBS1,0
909774,OV,SBS1,0
909776,BONE,SBS1,0
909777,ALL/CLL,SBS1,0
909778,BRCA,SBS1,0
909779,LUSC,SBS1,0
909780,BLCA,SBS1,0
909781,KIRC,SBS1,0
909784,SKCM,SBS1,0
909785,LYMP,SBS1,0
909904,PAAD,SBS1,0
909905,GBM,SBS1,0
909907,BRCA,SBS1,0
909974,KIRC,SBS1,0
909975,OV,SBS1,0
909976,HL,SBS1,0
909977,BONE,SBS1,0
910079,ESCA,SBS1,1
910209,ALL/CLL,SBS1,0
910399,LUAD,SBS1,0
910401,LYMP,SBS1,0
910545,LAML,SBS1,0
910546,PAAD,SBS1,0
910549,ESCA,SBS1,0
910554,COREAD,SBS1,1
910566,LAML,SBS1,0
910567,NB,SBS1,0
910568,THCA,SBS1,0
910569,COREAD,SBS1,0
910687,ALL/CLL,SBS1,0
910688,LAML,SBS1,1
910689,COREAD,SBS1,0
910691,UCEC,SBS1,0
910692,SCLC,SBS1,0
910694,GBM,SBS1,0
910695,BTCA,SBS1,0
910697,SKCM,SBS1,0
910698,KIRC,SBS1,0
910700,COREAD,SBS1,0
910701,HNSC,SBS1,0
910702,PAAD,SBS1,0
910704,BRCA,SBS1,0
910705,ALL/CLL,SBS1,0
910706,LYMP,SBS1,0
910710,LCML,SBS1,0
910779,LUSC,SBS1,0
910780,NB,SBS1,0
910781,UCEC,SBS1,1
910784,SARC,SBS1,0
910849,BONE,SBS1,0
910850,LIHC,SBS1,0
910851,LUSC,SBS1,0
910853,SKCM,SBS1,0
910861,DLBC,SBS1,0
910899,SCLC,SBS1,0
910900,LUAD,SBS1,0
910903,SKCM,SBS1,0
910904,HNSC,SBS1,0
910905,COREAD,SBS1,0
910906,LYMP,SBS1,0
910907,PAAD,SBS1,0
910910,BRCA,SBS1,0
910911,HNSC,SBS1,0
910915,PAAD,SBS1,0
910916,HNSC,SBS1,0
910918,DLBC,SBS1,0
910919,DLBC,SBS1,0
910920,KIRC,SBS1,0
910921,SKCM,SBS1,0
910922,KIRC,SBS1,0
910924,STAD,SBS1,1
910925,SKCM,SBS1,0
910926,BLCA,SBS1,0
910927,BRCA,SBS1,0
910930,DLBC,SBS1,0
910931,LUAD,SBS1,0
910932,SKCM,SBS1,0
910933,GBM,SBS1,0
910934,DLBC,SBS1,0
910936,HNSC,SBS1,0
910937,SCLC,SBS1,0
910941,NB,SBS1,0
910942,LGG,SBS1,0
910943,GBM,SBS1,0
910944,ALL/CLL,SBS1,0
910947,LAML,SBS1,0
910948,BRCA,SBS1,0
910951,LCML,SBS1,1
910952,KIRC,SBS1,0
924100,PRAD,SBS1,1
924102,THCA,SBS1,0
924104,THCA,SBS1,0
924105,PRAD,SBS1,0
924106,BRCA,SBS1,0
924107,CESC,SBS1,1
924108,COREAD,SBS1,0
