COSMIC_ID,cancer_type,ACA>A,ACA>G,ACA>T,ACC>A,ACC>G,ACC>T,ACG>A,ACG>G,ACG>T,ACT>A,ACT>G,ACT>T,ATA>A,ATA>C,ATA>G,ATC>A,ATC>C,ATC>G,ATG>A,ATG>C,ATG>G,ATT>A,ATT>C,ATT>G,CCA>A,CCA>G,CCA>T,CCC>A,CCC>G,CCC>T,CCG>A,CCG>G,CCG>T,CCT>A,CCT>G,CCT>T,CTA>A,CTA>C,CTA>G,CTC>A,CTC>C,CTC>G,CTG>A,CTG>C,CTG>G,CTT>A,CTT>C,CTT>G,GCA>A,GCA>G,GCA>T,GCC>A,GCC>G,GCC>T,GCG>A,GCG>G,GCG>T,GCT>A,GCT>G,GCT>T,GTA>A,GTA>C,GTA>G,GTC>A,GTC>C,GTC>G,GTG>A,GTG>C,GTG>G,GTT>A,GTT>C,GTT>G,TCA>A,TCA>G,TCA>T,TCC>A,TCC>G,TCC>T,TCG>A,TCG>G,TCG>T,TCT>A,TCT>G,TCT>T,TTA>A,TTA>C,TTA>G,TTC>A,TTC>C,TTC>G,TTG>A,TTG>C,TTG>G,TTT>A,TTT>C,TTT>G,MH,MS,Insertion,Other
687820,LUAD,11,4,3,9,2,2,3,1,0,5,3,1,3,5,0,1,2,0,3,2,0,0,1,3,14,2,4,27,3,7,9,1,3,21,6,7,2,1,0,1,0,0,15,5,1,3,2,2,11,3,5,10,7,3,5,0,0,5,4,3,1,0,0,0,0,0,6,1,1,0,4,0,18,17,26,15,11,15,3,3,3,10,29,20,1,1,0,1,0,0,3,2,1,1,3,2,9,24,22,13
687821,LUAD,2,1,1,1,0,0,0,0,0,2,0,3,0,2,0,0,0,2,2,0,0,1,0,2,2,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,0,1,2,0,0,0,1,1,1,0,0,2,0,0,0,3,2,5,0,1,3,1,0,0,1,1,0,3,0,0,1,1,2,0,2,2,0,0,0,2,0,2,2,0,0,1,0,2,0,1,0,2,0,0,1,4,22,37,9
687829,LUSC,16,6,3,5,4,1,7,4,2,6,4,2,3,3,0,2,0,0,6,0,0,1,1,0,20,2,6,24,2,6,7,3,2,22,4,12,5,1,1,3,2,0,8,0,1,2,0,4,13,1,5,8,3,1,0,1,0,10,5,2,7,0,1,2,0,1,4,0,4,1,2,1,15,2,4,25,6,2,8,5,0,10,1,10,4,4,1,2,4,0,1,2,0,4,0,0,8,24,53,14
687980,SCLC,0,0,1,2,0,0,3,0,0,3,0,0,1,1,0,0,0,0,1,4,1,1,0,0,3,2,0,3,4,2,2,1,1,1,1,2,0,1,0,0,1,0,0,0,0,1,1,1,1,2,1,5,0,0,1,0,2,1,1,0,0,0,0,0,0,0,2,0,2,1,0,1,4,1,3,2,0,2,2,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,1,4,14,14,9
687983,SCLC,0,0,1,1,4,0,0,0,3,1,1,0,1,1,2,0,0,0,0,2,3,0,2,0,2,1,0,4,1,1,4,3,0,7,2,3,0,1,0,1,1,1,2,0,0,3,0,1,0,3,4,2,1,1,0,0,0,3,0,2,1,3,1,1,0,1,1,0,1,1,1,1,2,0,2,10,2,7,0,1,3,0,1,1,0,0,0,1,2,1,1,0,0,1,0,1,7,17,24,15
687985,SCLC,9,3,0,3,0,2,1,0,0,5,2,1,1,1,1,1,2,0,5,1,0,0,0,0,13,4,1,15,2,1,5,1,0,4,2,1,1,1,0,5,0,0,3,0,0,3,0,0,3,1,4,10,2,0,5,0,0,6,2,0,1,0,1,2,0,0,3,1,2,1,1,0,4,0,2,9,3,3,2,1,3,4,2,4,0,2,0,1,3,2,0,0,0,3,2,2,11,22,22,10
687995,SCLC,0,2,5,3,1,6,0,1,10,1,1,0,0,0,0,2,4,1,0,2,0,1,2,0,0,3,0,10,0,1,2,0,10,2,0,3,1,0,0,0,1,3,0,7,1,0,5,3,0,0,16,5,0,8,1,1,10,1,0,7,0,1,0,0,2,1,0,6,0,1,4,1,4,1,0,2,0,1,2,1,0,2,0,0,0,3,0,1,0,1,0,3,3,0,0,1,48,305,127,44
687997,SCLC,8,2,4,9,1,6,1,0,3,1,6,4,0,3,0,2,4,0,0,4,2,2,0,0,11,3,4,9,3,4,1,0,0,4,3,2,3,2,2,1,4,1,3,5,0,1,0,0,7,0,3,5,4,5,0,2,0,4,6,1,2,4,1,2,5,1,2,1,7,3,2,0,7,0,6,9,3,5,2,3,1,6,1,0,1,0,0,2,3,1,2,0,1,3,0,3,9,11,30,11
688001,SCLC,6,0,0,0,1,0,3,1,0,0,1,2,1,0,1,1,1,1,1,0,0,1,1,1,4,1,4,2,1,5,0,1,5,1,0,1,0,0,1,1,0,0,2,3,3,1,2,1,6,0,4,1,0,1,4,0,1,2,0,0,1,1,0,1,0,1,1,2,2,0,2,0,5,2,2,4,2,3,2,1,1,4,2,3,2,0,0,2,2,1,1,0,0,2,0,1,14,23,20,10
688007,SCLC,6,1,5,0,1,0,0,0,0,2,0,1,0,1,1,1,3,0,2,2,0,1,0,0,4,4,1,3,1,3,2,2,0,8,3,2,1,1,0,1,1,1,1,4,0,1,1,2,7,3,2,9,1,2,2,0,0,3,4,0,0,3,0,1,0,0,3,0,1,0,0,2,9,44,51,15,14,13,1,0,8,4,31,14,0,1,1,2,0,0,0,0,1,0,0,1,11,19,19,12
